name,cmc,color_identity,type_line,rarity,power,toughness,keywords,set_type,oracle_text_length,year_released,is_reprint,is_reserved,num_colors,is_creature,is_legendary,card_age_days,edhrec_rank
Burning Inquiry,1.0,R,Sorcery,common,,,,core,67,2009,False,False,1,False,False,4947,2510
Scarscale Ritual,2.0,"B,U",Sorcery,common,,,,expansion,104,2008,False,False,2,False,False,5388,16724
Might Beyond Reason,4.0,G,Instant,common,,,Delirium,expansion,171,2016,False,False,1,False,False,2490,19262
Frontline Rebel,3.0,R,Creature — Human Warrior,common,3,3,,expansion,44,2017,False,False,1,True,False,2203,23546
Sewer Shambler,3.0,B,Creature — Zombie,common,2,1,"Scavenge,Landwalk,Swampwalk",expansion,257,2012,False,False,1,True,False,3771,19012
Kessig Dire Swine,6.0,G,Creature — Boar Horror,common,6,6,Delirium,expansion,116,2016,False,False,1,True,False,2490,20185
Cabal Torturer,3.0,B,Creature — Human Minion,common,1,1,Threshold,expansion,189,2002,False,False,1,True,False,7667,21946
Pensive Minotaur,3.0,R,Creature — Minotaur Warrior,common,2,3,,expansion,0,2014,False,False,1,True,False,3197,21054
Child of Night,2.0,B,Creature — Vampire,common,2,1,Lifelink,draft_innovation,8,2020,True,False,1,True,False,929,9871
Aurochs Herd,6.0,G,Creature — Aurochs,common,4,4,Trample,expansion,243,2006,False,False,1,True,False,6039,22774
Trip Wire,3.0,G,Sorcery,common,,,,masters,42,2009,True,False,1,False,False,4895,24457
Ritual of Steel,3.0,W,Enchantment — Aura,common,,,Enchant,expansion,148,1996,False,False,1,False,False,9612,21059
Akki Drillmaster,3.0,R,Creature — Goblin Shaman,common,2,2,,expansion,51,2005,False,False,1,True,False,6452,17836
Siege Mastodon,5.0,W,Creature — Elephant,common,3,5,,core,0,2019,True,False,1,True,False,1300,22766
Cunning Geysermage,3.0,U,Creature — Human Wizard,common,3,2,Kicker,expansion,198,2020,False,False,1,True,False,859,15293
March of the Returned,4.0,B,Sorcery,common,,,,expansion,72,2013,False,False,1,False,False,3414,15491
Frontline Strategist,1.0,W,Creature — Human Soldier,common,1,1,Morph,expansion,231,2003,False,False,1,True,False,7191,16618
Dread Rider,6.0,B,Creature — Spirit Knight,common,3,7,,expansion,85,2021,False,False,1,True,False,726,18566
Blood Lust,2.0,R,Instant,common,,,,masters,157,2009,True,False,1,False,False,4895,15684
Tolarian Geyser,3.0,"U,W",Sorcery,common,,,Kicker,expansion,166,2022,False,False,2,False,False,145,18432
Rhox Bodyguard,5.0,"G,W",Creature — Rhino Monk Soldier,common,2,3,Exalted,expansion,161,2009,False,False,2,True,False,5108,16845
Searchlight Geist,3.0,B,Creature — Spirit,common,2,1,Flying,expansion,139,2012,False,False,1,True,False,3925,23019
Organ Hoarder,4.0,U,Creature — Zombie,common,3,2,,expansion,157,2021,False,False,1,True,False,495,14034
Final Flare,3.0,R,Instant,common,,,,expansion,125,2020,False,False,1,False,False,1104,16303
Storm God's Oracle,3.0,"R,U",Enchantment Creature — Human Shaman,common,1,3,,draft_innovation,116,2021,False,False,2,True,False,593,21200
Skyscythe Engulfer,6.0,G,Creature — Phyrexian Beast,common,6,5,"Reach,Trample",expansion,76,2023,False,False,1,True,False,-2,20889
Insufferable Balladeer,2.0,R,Creature — Dwarf Bard,common,2,1,"Goad,Vicious Mockery",draft_innovation,249,2022,False,False,1,True,False,236,11467
Martyr of Sands,1.0,W,Creature — Human Cleric,common,1,1,,masters,97,2018,True,False,1,True,False,1517,12239
Phase Dolphin,3.0,U,Creature — Elemental Whale,common,1,4,,expansion,93,2020,False,False,1,True,False,1013,14463
Arcane Flight,1.0,U,Enchantment — Aura,common,,,Enchant,expansion,62,2018,False,False,1,False,False,1741,11403
Stronghold Discipline,4.0,B,Sorcery,common,,,,draft_innovation,56,2014,True,False,1,False,False,3162,18198
Fledgling Griffin,2.0,W,Creature — Griffin,common,2,2,Landfall,expansion,119,2010,False,False,1,True,False,4744,17005
Bog Witch,3.0,B,Creature — Human Spellshaper,common,1,1,,archenemy,40,2010,True,False,1,True,False,4611,7344
Boreal Druid,1.0,G,Snow Creature — Elf Druid,common,1,1,,expansion,13,2006,False,False,1,True,False,6039,1127
Dream Thief,3.0,U,Creature — Faerie Rogue,common,2,1,Flying,expansion,104,2008,False,False,1,True,False,5304,15906
Trapped in the Tower,2.0,W,Enchantment — Aura,common,,,Enchant,expansion,121,2019,False,False,1,False,False,1216,12056
Eyeblight Assassin,3.0,B,Creature — Elf Assassin,common,2,2,,draft_innovation,114,2020,True,False,1,True,False,803,15043
Spell Syphon,2.0,U,Instant,common,,,,expansion,88,2008,False,False,1,False,False,5388,14131
Cephalid Pathmage,3.0,U,Creature — Cephalid Wizard,common,1,2,,expansion,113,2003,False,False,1,True,False,7303,16359
Nettle Drone,3.0,R,Creature — Eldrazi Drone,common,3,1,Devoid,expansion,140,2015,False,False,1,True,False,2679,5998
Foundry Helix,3.0,"R,W",Instant,common,,,,draft_innovation,170,2021,False,False,2,False,False,593,12228
Bayou Dragonfly,2.0,G,Creature — Insect,common,1,1,"Flying,Landwalk,Swampwalk",expansion,96,1997,False,False,1,True,False,9241,15201
Prophecy,1.0,W,Sorcery,common,,,,expansion,165,1995,False,False,1,False,False,9985,21299
Staff of Zegon,4.0,,Artifact,common,,,,masters,55,2011,True,False,0,False,False,4405,23521
Giant Dustwasp,5.0,G,Creature — Insect,common,3,3,"Flying,Suspend",masters,265,2021,True,False,1,True,False,684,18422
Reckless Impulse,2.0,R,Sorcery,common,,,,expansion,99,2021,False,False,1,False,False,439,2201
Infernal Pet,3.0,B,Creature — Imp,common,2,2,,expansion,121,2021,False,False,1,True,False,726,16883
Cloak of the Bat,2.0,,Artifact — Equipment,common,,,Equip,draft_innovation,120,2022,False,False,0,False,False,236,6163
Death Wind,1.0,B,Instant,common,,,,draft_innovation,45,2016,True,False,1,False,False,2350,10691
Loch Korrigan,4.0,"B,U",Creature — Spirit,common,1,1,,expansion,50,2008,False,False,2,True,False,5388,24405
Blight Sickle,2.0,,Artifact — Equipment,common,,,Equip,expansion,116,2008,False,False,0,False,False,5388,12483
Disemvowel,5.0,B,Sorcery,common,,,,funny,149,2022,False,False,1,False,False,117,24496
Scorch the Fields,5.0,R,Sorcery,common,,,,expansion,77,2012,False,False,1,False,False,4016,22974
Lamplighter of Selhoff,5.0,U,Creature — Zombie Horror,common,3,5,,expansion,130,2016,False,False,1,True,False,2490,19869
Scarwood Treefolk,4.0,G,Creature — Treefolk,common,3,5,,expansion,48,2006,False,False,1,True,False,5962,23566
Benthic Giant,6.0,U,Creature — Giant,common,4,5,Hexproof,draft_innovation,91,2018,True,False,1,True,False,1699,18853
Anodet Lurker,5.0,,Artifact Creature — Construct,common,3,3,,expansion,41,2004,False,False,0,True,False,6816,21069
Volt Charge,3.0,R,Instant,common,,,Proliferate,expansion,163,2023,True,False,1,False,False,-2,6773
Faerie Miscreant,1.0,U,Creature — Faerie Rogue,common,1,1,Flying,core,121,2019,True,False,1,True,False,1300,10835
Fog of War,3.0,G,Instant,common,,,,expansion,144,2022,False,False,1,False,False,75,14699
Carrion Crow,3.0,B,Creature — Zombie Bird,common,2,2,Flying,core,125,2014,False,False,1,True,False,3120,21556
Bant Sojourners,4.0,"G,U,W",Creature — Human Soldier,common,2,4,Cycling,expansion,150,2009,False,False,3,True,False,5025,19795
Bonesplitter,1.0,,Artifact — Equipment,common,,,Equip,draft_innovation,39,2020,True,False,0,False,False,803,6042
Ancient Den,0.0,W,Artifact Land,common,,,,commander,13,2021,True,False,1,False,False,649,422
Kiln Fiend,2.0,R,Creature — Elemental Beast,common,1,2,,draft_innovation,87,2020,True,False,1,True,False,929,12097
Ageless Guardian,2.0,W,Creature — Spirit Soldier,common,1,4,,expansion,0,2021,False,False,1,True,False,649,18078
Blightbelly Rat,2.0,B,Creature — Phyrexian Rat,common,2,2,"Toxic,Proliferate",expansion,230,2023,False,False,1,True,False,-2,6946
Angelic Wall,2.0,W,Creature — Wall,common,0,4,"Flying,Defender",core,45,2013,True,False,1,True,False,3484,5666
Ire of Kaminari,4.0,R,Instant — Arcane,common,,,,expansion,97,2005,False,False,1,False,False,6571,18793
Bone Flute,3.0,,Artifact,common,,,,masters,52,2009,True,False,0,False,False,4895,19624
Dispersal Shield,2.0,U,Instant,common,,,,expansion,116,2003,False,False,1,False,False,7191,12628
Cave Sense,2.0,R,Enchantment — Aura,common,,,Enchant,expansion,139,1999,False,False,1,False,False,8521,19271
Sigil of the Nayan Gods,3.0,"G,W",Enchantment — Aura,common,,,"Enchant,Cycling",expansion,132,2009,False,False,2,False,False,5025,11837
Divine Arrow,2.0,W,Instant,common,,,,draft_innovation,69,2020,True,False,1,False,False,929,15194
Override,3.0,U,Instant,common,,,,expansion,82,2003,False,False,1,False,False,7062,14507
Candlelit Cavalry,5.0,G,Creature — Human Knight,common,5,5,Coven,expansion,161,2021,False,False,1,True,False,495,18203
Wild Jhovall,4.0,R,Creature — Cat,common,3,3,,expansion,0,1999,False,False,1,True,False,8521,24320
Mind Raker,4.0,B,Creature — Eldrazi Processor,common,3,3,Devoid,expansion,191,2015,False,False,1,True,False,2679,16053
Abomination of Gudul,6.0,"B,G,U",Creature — Horror,common,3,4,"Flying,Morph",expansion,243,2014,False,False,3,True,False,3050,19550
Bone Harvest,3.0,B,Instant,common,,,,expansion,139,1996,False,False,1,False,False,9612,7976
Defiant Falcon,2.0,W,Creature — Rebel Bird,common,1,1,Flying,expansion,133,2000,False,False,1,True,False,8388,13715
Centaur Healer,3.0,"G,W",Creature — Centaur Cleric,common,3,3,,draft_innovation,60,2018,True,False,2,True,False,1699,17669
Ember-Eye Wolf,2.0,R,Creature — Wolf,common,1,2,Haste,expansion,58,2016,False,False,1,True,False,2490,17471
Merrow Wavebreakers,5.0,U,Creature — Merfolk Soldier,common,3,3,,expansion,91,2008,False,False,1,True,False,5388,21991
Illusory Wrappings,3.0,U,Enchantment — Aura,common,,,Enchant,expansion,69,2017,False,False,1,False,False,2105,20312
Grow from the Ashes,3.0,G,Sorcery,common,,,Kicker,expansion,277,2018,False,False,1,False,False,1741,1984
Canopy Claws,1.0,G,Instant,common,,,Flashback,expansion,145,2002,False,False,1,False,False,7555,21914
Death's Duet,3.0,B,Sorcery,common,,,,masters,66,2015,True,False,1,False,False,2828,17311
Mammoth Spider,5.0,G,Creature — Spider,common,3,5,Reach,core,54,2019,True,False,1,True,False,1300,16477
Temporal Fissure,5.0,U,Sorcery,common,,,Storm,duel_deck,170,2017,True,False,1,False,False,2133,6229
Blazing Blade Askari,3.0,R,Creature — Human Knight,common,2,2,Flanking,expansion,184,2006,False,False,1,True,False,5962,22682
Ghostfire,3.0,R,Instant,common,,,,duel_deck,63,2017,True,False,1,False,False,1926,20085
Fanatical Devotion,3.0,W,Enchantment,common,,,,expansion,49,2000,False,False,1,False,False,8388,3060
Shrieking Drake,1.0,U,Creature — Drake,common,1,1,Flying,expansion,102,1997,False,False,1,True,False,9494,3442
Choking Sands,3.0,B,Sorcery,common,,,,masters,112,2014,True,False,1,False,False,3152,16875
Tar Snare,3.0,B,Instant,common,,,,expansion,45,2016,False,False,1,False,False,2567,22820
Plated Wurm,5.0,G,Creature — Wurm,common,4,5,,starter,0,1998,False,False,1,True,False,8988,21889
Lifecraft Cavalry,5.0,G,Creature — Elf Warrior,common,4,4,"Revolt,Trample",expansion,149,2017,False,False,1,True,False,2203,20315
Rabid Wolverines,5.0,G,Creature — Wolverine,common,4,4,,expansion,103,1998,False,False,1,True,False,8997,23473
Bonebreaker Giant,5.0,R,Creature — Giant,common,4,4,,core,0,2011,False,False,1,True,False,4219,23111
Roving Keep,7.0,,Artifact Creature — Wall,common,5,7,Defender,draft_innovation,132,2020,True,False,0,True,False,929,18117
Sell-Sword Brute,2.0,R,Creature — Human Mercenary,common,2,2,,expansion,53,2005,False,False,1,True,False,6326,23921
Wave-Wing Elemental,6.0,U,Creature — Elemental,common,3,4,"Landfall,Flying",expansion,126,2015,False,False,1,True,False,2679,17887
Beskir Shieldmate,2.0,W,Creature — Human Warrior,common,2,1,,expansion,77,2021,False,False,1,True,False,726,11303
Reduce to Ashes,5.0,R,Sorcery,common,,,,core,106,2019,True,False,1,False,False,1300,18701
Dazzling Lights,1.0,U,Instant,common,,,Surveil,expansion,199,2018,False,False,1,False,False,1580,16112
Archaeomancer,4.0,U,Creature — Human Wizard,common,1,2,,masters,114,2018,True,False,1,True,False,1517,468
Rathi Trapper,2.0,B,Creature — Human Rebel Rogue,common,1,2,,masters,30,2021,True,False,1,True,False,684,14285
Kithkin Shielddare,2.0,W,Creature — Kithkin Soldier,common,1,1,,expansion,64,2008,False,False,1,True,False,5388,20677
Dispersal Technician,5.0,U,Creature — Vedalken Artificer,common,3,2,,expansion,101,2017,False,False,1,True,False,2203,22742
Fists of Ironwood,2.0,G,Enchantment — Aura,common,,,Enchant,masters,143,2017,True,False,1,False,False,2147,8567
Savage Gorilla,5.0,"B,G,U",Creature — Ape,common,3,3,,expansion,97,2001,False,False,3,True,False,7912,24263
Dredging Claw,2.0,B,Artifact — Equipment,common,,,Equip,expansion,288,2022,False,False,1,False,False,75,18420
Captured by Lagacs,3.0,"G,W",Enchantment — Aura,common,,,"Support,Enchant",draft_innovation,178,2021,False,False,2,False,False,593,12122
Wei Elite Companions,5.0,B,Creature — Human Soldier,common,3,3,Horsemanship,masters,84,2009,True,False,1,True,False,4895,21973
Latulla's Orders,2.0,R,Enchantment — Aura,common,,,"Enchant,Flash",expansion,145,2000,False,False,1,False,False,8276,12817
Wild Aesthir,3.0,W,Creature — Bird,common,1,1,"Flying,First strike",masters,101,2011,True,False,1,True,False,4405,23440
Zhentarim Bandit,2.0,B,Creature — Halfling Rogue,common,2,1,,draft_innovation,173,2022,False,False,1,True,False,236,8430
Village Rites,1.0,B,Instant,common,,,,expansion,79,2021,True,False,1,False,False,726,179
Burden of Greed,4.0,B,Instant,common,,,,expansion,65,2004,False,False,1,False,False,6935,22406
Llanowar Dead,2.0,"B,G",Creature — Zombie Elf,common,2,2,,expansion,13,2001,False,False,2,True,False,7912,11265
Exhibition Magician,3.0,R,Creature — Human Wizard,common,2,1,,expansion,226,2022,False,False,1,True,False,278,11173
Tuinvale Treefolk // Oaken Boon,6.0,G,Creature — Treefolk Druid // Sorcery — Adventure,common,6,5,,expansion,0,2019,False,False,1,True,False,1216,10067
Leonin Lightbringer,3.0,W,Creature — Cat Rebel,common,3,2,Ward,expansion,195,2023,False,False,1,True,False,-2,20679
Tazeem Raptor,3.0,W,Creature — Bird,common,2,2,Flying,expansion,104,2020,False,False,1,True,False,859,20414
Zarichi Tiger,4.0,W,Creature — Cat,common,2,3,,expansion,29,2013,False,False,1,True,False,3652,20721
Pardic Lancer,5.0,R,Creature — Human Barbarian,common,3,2,,expansion,92,2002,False,False,1,True,False,7667,23184
Bishop's Soldier,2.0,W,Creature — Vampire Soldier,common,2,2,Lifelink,expansion,8,2017,False,False,1,True,False,1951,13876
Sage of Shaila's Claim,2.0,G,Creature — Elf Druid,common,2,1,,expansion,94,2016,False,False,1,True,False,2315,15209
Skyline Scout,2.0,W,Creature — Human Scout,common,2,1,,expansion,97,2018,False,False,1,True,False,1580,23518
Flesh to Dust,5.0,B,Instant,common,,,,core,49,2015,True,False,1,False,False,2756,18693
Clawing Torment,1.0,B,Enchantment — Aura,common,,,Enchant,expansion,181,2022,False,False,1,False,False,348,10694
Hedron Scrabbler,2.0,,Artifact Creature — Construct,common,1,1,Landfall,expansion,116,2009,False,False,0,True,False,4870,18585
Sanctum Gargoyle,4.0,W,Artifact Creature — Gargoyle,common,2,3,Flying,commander,122,2021,True,False,1,True,False,649,7535
D'Avenant Trapper,3.0,W,Creature — Human Archer,common,3,2,,expansion,127,2018,False,False,1,True,False,1741,17695
Feebleness,2.0,B,Enchantment — Aura,common,,,"Enchant,Flash",masters,53,2021,True,False,1,False,False,684,22332
Skirk Shaman,3.0,R,Creature — Goblin Shaman,common,2,2,,masters,80,2021,True,False,1,True,False,684,16949
Halimar Depths,0.0,U,Land,common,,,,commander,181,2021,True,False,1,False,False,558,698
Mask of Law and Grace,1.0,W,Enchantment — Aura,common,,,Enchant,expansion,75,1999,False,False,1,False,False,8640,6757
Nimble Birdsticker,3.0,R,Creature — Goblin,common,2,3,Reach,core,54,2019,False,False,1,True,False,1300,21297
Moonlit Strider,4.0,W,Creature — Spirit,common,1,4,Soulshift,masters,253,2015,True,False,1,True,False,2812,16480
Predator's Rapport,3.0,G,Instant,common,,,,expansion,100,2013,False,False,1,False,False,3652,12583
Midvast Protector,4.0,W,Creature — Human Wizard,common,2,3,,expansion,140,2012,False,False,1,True,False,3925,23637
Seafloor Debris,0.0,U,Land,common,,,,expansion,119,2001,False,False,1,False,False,7793,17362
Snapping Drake,4.0,U,Creature — Drake,common,3,2,Flying,core,81,2019,True,False,1,True,False,1300,22039
Drain the Well,4.0,"B,G",Sorcery,common,,,,expansion,37,2008,False,False,2,False,False,5304,20573
Firefright Mage,1.0,R,Creature — Goblin Spellshaper,common,1,1,,expansion,122,2007,False,False,1,True,False,5843,18395
Consuming Sinkhole,4.0,R,Instant,common,,,Devoid,expansion,145,2016,False,False,1,False,False,2567,21738
Aliban's Tower,2.0,R,Instant,common,,,,expansion,54,1995,False,False,1,False,False,9985,22825
Volcanic Rush,5.0,R,Instant,common,,,,expansion,65,2015,False,False,1,False,False,2868,18215
Genasi Enforcers,2.0,R,Creature — Elemental Shaman,common,1,3,Myriad,draft_innovation,330,2022,False,False,1,True,False,236,10837
Tribute to Urborg,2.0,"B,U",Instant,common,,,Kicker,expansion,254,2022,False,False,2,False,False,145,18769
Riparian Tiger,5.0,G,Creature — Cat,common,4,4,Trample,expansion,186,2016,False,False,1,True,False,2315,18496
Track Down,2.0,G,Sorcery,common,,,Scry,core,245,2020,False,False,1,False,False,943,10611
Skywarp Skaab,5.0,U,Creature — Zombie Drake,common,2,5,Flying,expansion,127,2021,False,False,1,True,False,439,18409
Volcanic Strength,2.0,R,Enchantment — Aura,common,,,Enchant,core,139,2012,True,False,1,False,False,3855,13492
Chrome Cat,3.0,,Artifact Creature — Cat,common,3,2,Scry,expansion,47,2022,False,False,0,True,False,278,16550
Gift of the Gargantuan,3.0,G,Sorcery,common,,,,expansion,209,2008,False,False,1,False,False,5234,16619
Soaring Drake,3.0,U,Creature — Drake,common,2,3,Flying,expansion,6,2022,False,False,1,True,False,145,21609
Cinder Barrens,0.0,"B,R",Land,common,,,,commander,66,2019,True,False,2,False,False,1258,3772
Belligerent Whiptail,4.0,R,Creature — Wurm,common,4,2,Landfall,expansion,128,2015,False,False,1,True,False,2679,21555
Bloodflow Connoisseur,3.0,B,Creature — Vampire,common,1,1,,masters,67,2022,True,False,1,True,False,208,5314
Chain to Memory,1.0,U,Instant,common,,,Scry,expansion,53,2020,False,False,1,False,False,1104,13678
Hired Blade,3.0,B,Creature — Human Assassin,common,3,2,Flash,core,67,2018,False,False,1,True,False,1664,19005
Monk Realist,2.0,W,Creature — Human Monk Cleric,common,1,1,,commander,69,2011,True,False,1,True,False,4247,16082
Serum Raker,4.0,U,Creature — Phyrexian Drake,common,3,2,Flying,expansion,58,2011,False,False,1,True,False,4380,22280
Shadowfeed,1.0,B,Instant,common,,,,expansion,52,2008,False,False,1,False,False,5234,20657
Amrou Scout,2.0,W,Creature — Kithkin Rebel Scout,common,2,1,,masters,126,2021,True,False,1,True,False,684,14213
Thoughtbind,3.0,U,Instant,common,,,,expansion,47,2004,False,False,1,False,False,6697,22045
Undergrowth Scavenger,4.0,G,Creature — Fungus Horror,common,0,0,,core,139,2014,False,False,1,True,False,3120,11633
Dreadlight Monstrosity,6.0,U,Creature — Crab Horror,common,5,5,Ward,expansion,240,2021,False,False,1,True,False,439,12948
Academy Wall,3.0,U,Creature — Wall,common,0,5,Defender,expansion,146,2022,False,False,1,True,False,145,12640
Sinking Feeling,3.0,U,Enchantment — Aura,common,,,Enchant,expansion,174,2008,False,False,1,False,False,5388,22080
Snooping Newsie,2.0,"B,U",Creature — Human Rogue,common,2,2,Mill,expansion,243,2022,False,False,2,True,False,278,16585
Defy Gravity,1.0,U,Instant,common,,,Flashback,masters,145,2018,True,False,1,False,False,1517,8888
Impede Momentum,2.0,U,Sorcery,common,,,Scry,expansion,243,2022,False,False,1,False,False,145,13114
Rushwood Herbalist,3.0,G,Creature — Human Spellshaper,common,2,2,,expansion,53,1999,False,False,1,True,False,8521,20071
Tel-Jilad Defiance,2.0,G,Instant,common,,,,expansion,79,2010,False,False,1,False,False,4506,17740
Frozen Shade,3.0,B,Creature — Shade,common,0,1,,core,47,1997,True,False,1,True,False,9445,19402
Naya Hushblade,2.0,"G,R,W",Creature — Elf Rogue,common,2,1,,expansion,145,2009,False,False,3,True,False,5025,18013
Patriarch's Desire,4.0,B,Enchantment — Aura,common,,,"Enchant,Threshold",expansion,157,2001,False,False,1,False,False,7793,24003
Ancient Animus,2.0,G,Instant,common,,,Fight,draft_innovation,175,2020,True,False,1,False,False,803,3691
Keldon Strike Team,3.0,"R,W",Creature — Human Warrior,common,3,1,Kicker,expansion,283,2022,False,False,2,True,False,145,18867
Reckless Wurm,5.0,R,Creature — Wurm,common,4,4,"Madness,Trample",masters,146,2021,True,False,1,True,False,684,8087
Machinate,3.0,U,Instant,common,,,,expansion,183,2004,False,False,1,False,False,6935,14807
Skyswirl Harrier,5.0,W,Creature — Bird,common,3,4,Flying,expansion,6,2016,False,False,1,True,False,2315,23744
Ephemerate,1.0,W,Instant,common,,,Rebound,draft_innovation,271,2019,False,False,1,False,False,1328,568
Fang of Shigeki,1.0,G,Enchantment Creature — Snake Ninja,common,1,1,Deathtouch,expansion,10,2022,False,False,1,True,False,348,4849
Common Bond,3.0,"G,W",Instant,common,,,,expansion,79,2012,False,False,2,False,False,3771,17636
Dakmor Scorpion,2.0,B,Creature — Scorpion,common,2,1,,starter,0,1999,True,False,1,True,False,8616,24114
Kingfisher,4.0,U,Creature — Bird,common,2,2,Flying,expansion,41,1999,False,False,1,True,False,8640,22706
Psychotic Haze,4.0,B,Instant,common,,,Madness,expansion,202,2002,False,False,1,False,False,7667,9433
Centaur Veteran,6.0,G,Creature — Centaur,common,3,3,Trample,expansion,56,2002,False,False,1,True,False,7667,24240
Campus Guide,2.0,,Artifact Creature — Golem,common,2,1,,expansion,142,2021,False,False,0,True,False,649,10618
Tangle Mantis,4.0,G,Creature — Insect,common,3,4,Trample,expansion,7,2011,False,False,1,True,False,4380,21970
Clown Extruder,0.0,,Artifact — Attraction,common,,,,funny,63,2022,False,False,0,False,False,117,24464
Waking Nightmare,3.0,B,Sorcery — Arcane,common,,,,masters,33,2015,True,False,1,False,False,2812,17633
Soulstinger,4.0,B,Creature — Scorpion Demon,common,4,5,,expansion,204,2017,False,False,1,True,False,2105,10804
Brush with Death,3.0,B,Sorcery,common,,,Buyback,expansion,182,1998,False,False,1,False,False,9102,21456
Beaming Defiance,2.0,W,Instant,common,,,,expansion,148,2021,False,False,1,False,False,649,8384
Argothian Swine,4.0,G,Creature — Boar,common,3,3,Trample,expansion,7,1998,False,False,1,True,False,8878,22008
Kris Mage,1.0,R,Creature — Human Spellshaper,common,1,1,,expansion,65,1999,False,False,1,True,False,8521,21954
Festival Crasher,2.0,R,Creature — Devil,common,1,3,,expansion,93,2021,False,False,1,True,False,495,14657
Red Cliffs Armada,5.0,U,Creature — Human Soldier,common,5,4,,masters,74,2008,True,False,1,True,False,5245,24443
Skywhaler's Shot,3.0,W,Instant,common,,,Scry,draft_innovation,149,2020,True,False,1,False,False,803,11464
Orim's Touch,1.0,W,Instant,common,,,Kicker,expansion,256,2000,False,False,1,False,False,8157,23828
Armor of Faith,1.0,W,Enchantment — Aura,common,,,Enchant,masters,101,2008,True,False,1,False,False,5245,18996
Portent of Betrayal,4.0,R,Sorcery,common,,,Scry,draft_innovation,206,2020,True,False,1,False,False,803,10221
Pyromantic Pilgrim,3.0,R,Creature — Human Wizard,common,3,1,Haste,expansion,80,2018,False,False,1,True,False,1741,23237
Lead Astray,2.0,W,Instant,common,,,,expansion,31,2002,False,False,1,False,False,7555,23870
Seismic Strike,3.0,R,Instant,common,,,,core,92,2014,True,False,1,False,False,3120,14027
Cut the Earthly Bond,1.0,U,Instant — Arcane,common,,,,expansion,54,2005,False,False,1,False,False,6452,21215
Tel-Jilad Archers,5.0,G,Creature — Elf Archer,common,2,4,"Reach,Protection",expansion,81,2003,False,False,1,True,False,7062,20923
Nightwind Glider,3.0,W,Creature — Human Rebel,common,2,1,"Flying,Protection",expansion,29,1999,False,False,1,True,False,8521,16763
Pyromatics,2.0,R,Instant,common,,,Replicate,duel_deck,179,2012,True,False,1,False,False,3799,17039
Young Red Dragon // Bathe in Gold,4.0,R,Creature — Dragon // Instant — Adventure,common,3,2,Flying,draft_innovation,0,2022,False,False,1,True,False,236,8865
Segmented Krotiq,6.0,G,Creature — Insect,common,6,5,Megamorph,expansion,157,2015,False,False,1,True,False,2868,21301
Brain Weevil,4.0,B,Creature — Insect,common,1,1,Intimidate,duel_deck,203,2012,True,False,1,True,False,3799,15595
Elgaud Inquisitor,4.0,W,Creature — Human Cleric,common,2,2,Lifelink,expansion,163,2012,False,False,1,True,False,4016,19423
Essence Drain,5.0,B,Sorcery,common,,,,core,63,2012,True,False,1,False,False,3855,20308
Sudden Spinnerets,1.0,G,Instant,common,,,,expansion,82,2020,False,False,1,False,False,1013,9078
Blur Sliver,3.0,R,Creature — Sliver,common,2,2,,core,107,2013,False,False,1,True,False,3484,5195
Opaline Bracers,4.0,,Artifact — Equipment,common,,,"Sunburst,Equip",expansion,279,2004,False,False,0,False,False,6816,20191
Stasis Cocoon,2.0,W,Enchantment — Aura,common,,,Enchant,expansion,106,2004,False,False,1,False,False,6816,19790
Defile,1.0,B,Instant,common,,,,draft_innovation,72,2019,False,False,1,False,False,1328,956
Angelic Page,2.0,W,Creature — Angel Spirit,common,1,1,Flying,draft_innovation,79,2020,True,False,1,True,False,929,10599
Covert Operative,5.0,U,Creature — Human Wizard,common,3,2,,expansion,34,2003,False,False,1,True,False,7303,22408
Soul Reap,2.0,B,Sorcery,common,,,,expansion,107,2008,False,False,1,False,False,5304,20849
Ghost Tactician,5.0,W,Creature — Spirit Spellshaper,common,2,5,,expansion,76,2007,False,False,1,True,False,5843,23820
Extinguish,2.0,U,Instant,common,,,,starter,29,1999,True,False,1,False,False,8611,22191
Viashino Bladescout,3.0,R,Creature — Viashino Scout,common,2,1,Flash,expansion,170,2006,False,False,1,True,False,5962,23025
Vampire Hounds,3.0,B,Creature — Vampire Dog,common,2,2,,masters,69,2015,True,False,1,True,False,2828,21519
Stinging Barrier,4.0,U,Creature — Wall,common,0,4,Defender,expansion,95,1999,False,False,1,True,False,8521,19644
Wee Champion,1.0,R,Creature — Minotaur Child Guest,common,0,1,,funny,141,2022,False,False,1,True,False,117,23149
Ridge Rannet,7.0,R,Creature — Beast,common,6,4,Cycling,expansion,50,2008,False,False,1,True,False,5234,15885
Strength of Solidarity,1.0,G,Sorcery,common,,,,expansion,173,2020,False,False,1,False,False,859,16641
Flying Carpet,4.0,,Artifact,common,,,,masters,57,2011,True,False,0,False,False,4405,18862
Shoulder to Shoulder,3.0,W,Sorcery,common,,,Support,draft_innovation,84,2018,True,False,1,False,False,1699,13096
Blinding Beam,3.0,W,Instant,common,,,Entwine,masters,159,2013,True,False,1,False,False,3526,20360
Adaptive Snapjaw,5.0,G,Creature — Lizard Beast,common,6,2,Evolve,expansion,177,2013,False,False,1,True,False,3652,18151
Brood Birthing,2.0,R,Sorcery,common,,,,expansion,175,2010,False,False,1,False,False,4667,15639
Barbtooth Wurm,6.0,G,Creature — Wurm,common,6,4,,starter,0,1999,True,False,1,True,False,8616,19855
